match_id,innings,over,ball,striker,non_striker,bowler,runs,extras,wicket,wicket_type,fielder,runout_by,batting_team
4,1,1,5,11111,1111,11,2,,No,,,,ggd
4,1,1,6,11111,1111,11,0,,Yes,Bowled,,,ggd
4,1,2,1,1111,11111,1,0,,Yes,Bowled,,,ggd
4,1,2,2,111111,1111,1,0,,Yes,Bowled,,,ggd
4,1,2,3,11111,1111,1,0,,Yes,Bowled,,,ggd
4,1,2,4,111111,1111,1,0,,Yes,Bowled,,,ggd
4,1,2,5,11111,1111,1,0,,Yes,Bowled,,,ggd
4,1,2,6,111111,1111,1,0,,Yes,Bowled,,,ggd
4,1,3,1,1111,11111,11,0,,Yes,Bowled,,,ggd
4,1,3,2,111111,1111,11,0,,Yes,Bowled,,,ggd
4,1,3,3,11111,1111,11,0,,Yes,Bowled,,,ggd
4,2,0,1,1,11,1111,0,,No,,,,gg
4,2,0,2,1,11,1111,0,,No,,,,gg
4,2,0,3,1,11,1111,0,,No,,,,gg
4,2,0,4,1,11,1111,0,,No,,,,gg
4,2,0,5,1,11,1111,1,,No,,,,gg
4,2,0,6,11,1,1111,1,,No,,,,gg
4,2,1,1,11,1,11111,1,,No,,,,gg
4,2,1,2,1,11,11111,1,,No,,,,gg
4,2,1,3,11,1,11111,1,,No,,,,gg
4,2,1,4,1,11,11111,1,,No,,,,gg
4,2,1,5,11,1,11111,1,,No,,,,gg
4,2,1,6,1,11,11111,1,,No,,,,gg
4,2,2,1,1,11,1111,1,,No,,,,gg
4,2,2,2,11,1,1111,1,,No,,,,gg
4,2,2,3,1,11,1111,1,,No,,,,gg
4,2,2,4,11,1,1111,1,,No,,,,gg
4,2,2,5,1,11,1111,1,,No,,,,gg
4,2,2,6,11,1,1111,1,,No,,,,gg
4,2,3,1,11,1,11111,1,,No,,,,gg
4,2,3,2,1,11,11111,1,,No,,,,gg
4,2,3,3,11,1,11111,0,,Yes,Bowled,,,gg
4,2,3,4,111,1,11111,0,,Yes,Bowled,,,gg
4,2,3,5,11,1,11111,0,,Yes,Bowled,,,gg
4,2,3,6,111,1,11111,0,,Yes,Bowled,,,gg
4,2,4,1,1,11,1111,0,,Yes,Bowled,,,gg
4,2,4,2,111,1,1111,0,,Yes,Bowled,,,gg
4,2,4,3,11,1,1111,0,,Yes,Bowled,,,gg
4,2,4,4,111,1,1111,0,,Yes,Bowled,,,gg
4,2,4,5,11,1,1111,0,,Yes,Bowled,,,gg
4,2,4,6,111,1,1111,0,,Yes,Bowled,,,gg
2,1,0,1,1,11,111,0,,No,,,,q
2,1,0,2,1,11,111,0,,No,,,,q
2,1,0,3,1,11,111,0,,No,,,,q
2,1,0,4,1,11,111,5,,No,,,,q
2,1,0,5,11,1,111,5,,No,,,,q
2,1,0,6,1,11,111,1,,No,,,,q
2,1,1,1,1,11,1111,1,,No,,,,q
2,1,1,2,11,1,1111,1,,No,,,,q
2,1,1,3,1,11,1111,1,,Yes,Bowled,,,q
2,1,1,4,111,1,1111,1,,Yes,Bowled,,,q
2,1,1,5,11,1,1111,1,,Yes,Bowled,,,q
2,1,1,6,111,1,1111,1,,Yes,Bowled,,,q
2,1,2,1,1,11,111,1,,Yes,Bowled,,,q
2,1,2,2,111,1,111,1,,Yes,Bowled,,,q
2,1,2,3,11,1,111,1,,Yes,Bowled,,,q
2,1,2,4,111,1,111,1,,Yes,Bowled,,,q
2,1,2,5,11,1,111,0,,Yes,Bowled,,,q
2,1,2,6,111,1,111,0,,Yes,Bowled,,,q
2,2,0,1,111,1111,1,0,,No,,,,w
2,2,0,2,111,1111,1,3,,No,,,,w
2,2,0,3,1111,111,1,3,,No,,,,w
2,2,0,4,111,1111,1,3,,No,,,,w
2,2,0,5,111,1111,11,3,,No,,,,w
2,2,0,6,1111,111,11,3,,No,,,,w
2,2,1,1,111,1111,11,3,,No,,,,w
2,2,1,2,1111,111,11,3,,No,,,,w
2,2,1,3,111,1111,11,3,,No,,,,w
3,1,0,1,1,11,1,0,,No,,,,gg
3,1,0,2,1,11,1,0,,No,,,,gg
3,1,0,3,1,11,1,4,,No,,,,gg
3,1,0,4,1,11,1,4,,No,,,,gg
3,1,0,5,1,11,1,4,,No,,,,gg
3,1,0,6,1,11,1,4,,No,,,,gg
3,1,1,1,11,1,11,4,,No,,,,gg
3,1,1,2,11,1,11,4,,No,,,,gg
3,1,1,3,11,1,11,4,,No,,,,gg
3,1,1,4,11,1,11,4,,No,,,,gg
3,1,1,5,11,1,11,4,,No,,,,gg
3,1,1,6,11,1,11,4,,No,,,,gg
3,1,2,1,1,11,1,0,,Yes,Bowled,,,gg
3,1,2,2,111,1,1,0,,Yes,Bowled,,,gg
3,1,2,3,11,1,1,0,,Yes,Bowled,,,gg
3,1,2,4,111,1,1,0,,Yes,Bowled,,,gg
3,1,2,5,11,1,1,0,,Yes,Bowled,,,gg
3,1,2,6,111,1,1,0,,Yes,Bowled,,,gg
3,1,3,1,1,11,11,0,,Yes,Bowled,,,gg
3,1,3,2,111,1,11,0,,Yes,Bowled,,,gg
3,1,3,3,11,1,11,0,,Yes,Bowled,,,gg
3,1,3,4,111,1,11,0,,Yes,Bowled,,,gg
3,2,0,1,1,11,1,0,,No,,,,q
3,2,0,2,1,11,1,2,,No,,,,q
3,2,0,3,1,11,1,2,,No,,,,q
3,2,0,4,1,11,1,2,,No,,,,q
3,2,0,5,1,11,1,2,,No,,,,q
3,2,0,6,1,11,1,2,,No,,,,q
3,2,1,1,11,1,11,2,,No,,,,q
3,2,1,2,11,1,11,2,,No,,,,q
3,2,1,3,11,1,11,6,,No,,,,q
3,2,1,4,11,1,11,6,,No,,,,q
3,2,1,5,11,1,11,6,,No,,,,q
3,2,1,6,11,1,11,6,,No,,,,q
3,2,2,1,1,11,1,6,,No,,,,q
5,2,0,1,1111,11111,1,0,,No,,,,ggd
5,2,0,2,1111,11111,1,1,,No,,,,ggd
5,2,0,3,11111,1111,1,1,,No,,,,ggd
5,2,0,4,1111,11111,1,1,,No,,,,ggd
5,2,0,5,11111,1111,1,0,,Yes,Bowled,,,ggd
5,2,0,6,111111,1111,1,0,,Yes,Bowled,,,ggd
5,2,1,1,1111,11111,11,0,,Yes,Bowled,,,ggd
5,2,1,2,111111,1111,11,0,,Yes,Bowled,,,ggd
5,2,1,3,11111,1111,11,0,,Yes,Bowled,,,ggd
5,2,1,4,111111,1111,11,0,,Yes,Bowled,,,ggd
5,2,1,5,11111,1111,11,0,,Yes,Bowled,,,ggd
5,2,1,6,111111,1111,11,0,,Yes,Bowled,,,ggd
5,2,2,1,1111,11111,1,0,,Yes,Bowled,,,ggd
5,2,2,2,111111,1111,1,0,,Yes,Bowled,,,ggd
2,2,1,6,1111,111,11,0,,No,,,,w
2,2,2,1,111,1111,1,0,,No,,,,w
2,2,2,2,111,1111,111,0,,No,,,,w
2,2,2,3,111,1111,111,4,,No,,,,w
2,2,2,4,111,1111,111,4,,No,,,,w
2,2,2,5,111,1111,111,4,,No,,,,w
6,1,0,1,1,11,111,0,,No,,,,q
6,1,0,2,1,11,111,0,,No,,,,q
6,1,0,3,1,11,111,2,,No,,,,q
6,1,0,4,1,11,111,2,,No,,,,q
6,1,0,5,1,11,111,0,,Yes,Bowled,,,q
6,1,0,6,111,1,111,0,,Yes,Bowled,,,q
6,1,1,1,1,11,1111,0,,Yes,Bowled,,,q
6,1,1,2,111,1,1111,0,,Yes,Bowled,,,q
6,1,1,3,11,1,1111,0,,Yes,Bowled,,,q
6,1,1,4,111,1,1111,0,,Yes,Bowled,,,q
6,1,1,5,11,1,1111,0,,Yes,Bowled,,,q
6,1,1,6,111,1,1111,0,,Yes,Bowled,,,q
6,1,2,1,1,11,111,0,,Yes,Bowled,,,q
6,1,2,2,111,1,111,0,,Yes,Bowled,,,q
6,2,0,1,111,1111,1,0,,No,,,,w
6,2,0,2,111,1111,1,0,,Yes,Bowled,,,w
6,2,0,3,11111,111,1,0,,Yes,Bowled,,,w
6,2,0,4,1111,111,1,0,,Yes,Bowled,,,w
6,2,0,5,11111,111,1,0,,Yes,Bowled,,,w
6,2,0,6,1111,111,1,0,,Yes,Bowled,,,w
6,2,1,1,111,1111,11,0,,Yes,Bowled,,,w
6,2,1,2,11111,111,11,0,,Yes,Bowled,,,w
6,2,1,3,1111,111,11,0,,Yes,Bowled,,,w
6,2,1,4,11111,111,11,0,,Yes,Bowled,,,w
6,2,1,5,1111,111,11,0,,Yes,Bowled,,,w
